function_one_type,function_one_name,function_one_startline,function_one_endline,function_two_type,function_two_name,function_two_startline,function_two_endline,syntactic_type,similarity_line,similarity_token
selected,59218.java,768,794,selected,925397.java,854,880,3,0.962962962962963,0.965
selected,10730.java,755,781,selected,59218.java,768,794,3,0.8148148148148149,0.9698492462311558
selected,438322.java,865,885,selected,59218.java,768,794,3,0.7037037037037037,0.8756476683937824
selected,438322.java,897,917,selected,59218.java,768,794,3,0.7037037037037037,0.8756476683937824
selected,1494993.java,873,899,selected,59218.java,768,794,3,1,1
selected,1128975.java,43,102,selected,452741.java,44,109,3,0.8507462686567164,0.7548387096774194
selected,540603.java,89,206,selected,915013.java,69,186,3,0.860655737704918,0.9311023622047244
selected,1318135.java,25,51,selected,1074458.java,108,143,3,0.75,0.774468085106383
selected,1074458.java,108,143,selected,1801118.java,24,50,3,0.75,0.774468085106383
selected,871757.java,711,729,selected,1552187.java,147,165,3,0.9473684210526316,0.991304347826087
default,93742.java,55,74,selected,1552187.java,147,165,3,0.9,0.9262295081967213
selected,2358129.java,91,111,selected,1552187.java,147,165,3,0.7619047619047619,0.8208955223880597
selected,2741363.java,237,256,selected,1552187.java,147,165,3,0.75,0.8067226890756303
selected,1552187.java,147,165,selected,418831.java,80,100,3,0.8181818181818181,0.8308823529411764
selected,1574719.java,145,163,selected,1552187.java,147,165,3,0.9473684210526316,0.9826086956521739
selected,1435050.java,199,217,selected,1552187.java,147,165,3,0.9473684210526316,0.9826086956521739
selected,882365.java,379,402,selected,1552187.java,147,165,3,0.75,0.6609195402298851
selected,2102326.java,637,658,selected,1552187.java,147,165,3,0.8181818181818181,0.7687074829931972
selected,1552187.java,147,165,selected,1524798.java,43,61,3,0.9473684210526316,0.991304347826087
selected,1552187.java,147,165,selected,1081859.java,197,212,3,0.8421052631578947,0.8521739130434782
selected,668466.java,50,68,selected,1552187.java,147,165,3,0.9473684210526316,0.9478260869565217
selected,1831582.java,207,224,selected,1552187.java,147,165,3,0.7894736842105263,0.829059829059829
selected,1552187.java,147,165,selected,1761827.java,86,102,3,0.7894736842105263,0.8434782608695652
selected,1748547.java,90,112,selected,1552187.java,147,165,3,0.782608695652174,0.8615384615384616
selected,1057320.java,207,224,selected,1552187.java,147,165,3,0.7894736842105263,0.829059829059829
selected,2403960.java,34,49,selected,1552187.java,147,165,3,0.7894736842105263,0.817391304347826
selected,1552187.java,147,165,selected,693554.java,184,203,3,0.85,0.837037037037037
selected,1552187.java,147,165,selected,1819337.java,144,162,3,0.9473684210526316,0.991304347826087
selected,1791697.java,70,88,selected,1552187.java,147,165,3,0.9473684210526316,0.9826086956521739
selected,388654.java,111,129,selected,1552187.java,147,165,3,0.9473684210526316,0.991304347826087
selected,1597770.java,195,215,selected,1552187.java,147,165,3,0.8095238095238095,0.8444444444444444
selected,1552187.java,147,165,selected,861428.java,327,347,3,0.7142857142857143,0.8120300751879699
selected,1434515.java,77,89,selected,1637296.java,142,154,3,0.9333333333333333,0.9655172413793104
selected,1434515.java,77,89,selected,157734.java,338,353,3,0.7222222222222222,0.8412698412698413
selected,1434515.java,77,89,selected,1253848.java,33,45,3,0.8,0.8571428571428572
selected,1434515.java,77,89,selected,33546.java,639,653,3,0.8235294117647058,0.8538461538461538
selected,2180525.java,32,44,selected,1434515.java,77,89,3,0.8666666666666667,0.9285714285714286
selected,1434515.java,77,89,selected,214880.java,83,95,3,0.8,0.8660714285714286
selected,1434515.java,77,89,selected,2383916.java,15,27,3,0.8666666666666667,0.8660714285714286
selected,1434515.java,77,89,selected,2354960.java,15,26,3,0.7333333333333334,0.8035714285714286
selected,1434515.java,77,89,selected,174244.java,78,93,3,0.8333333333333334,0.8
selected,1434515.java,77,89,selected,2016782.java,312,326,3,0.8235294117647058,0.8951612903225806
selected,1434515.java,77,89,selected,327063.java,157,168,3,0.7333333333333334,0.8035714285714286
selected,1434515.java,77,89,selected,832110.java,49,64,3,0.7222222222222222,0.8412698412698413
selected,1434515.java,77,89,selected,2034151.java,623,637,3,0.8235294117647058,0.8538461538461538
selected,1434515.java,77,89,selected,2054531.java,466,478,3,0.8666666666666667,0.9285714285714286
selected,2144903.java,465,497,selected,1379153.java,493,523,3,0.8823529411764706,0.9158878504672897
selected,2144903.java,465,497,selected,1379153.java,448,491,3,0.7111111111111111,0.7184684684684685
selected,2459825.java,55,71,selected,941324.java,53,69,3,0.9411764705882353,0.9230769230769231
selected,2395221.java,249,273,selected,816071.java,43,69,3,0.7037037037037037,0.6918604651162791
selected,2395221.java,249,273,selected,1780127.java,12,33,3,0.72,0.7619047619047619
selected,2395221.java,249,273,selected,2387239.java,361,387,3,0.7037037037037037,0.6761363636363636
selected,2395221.java,249,273,selected,224239.java,22,43,3,0.72,0.8604651162790697
selected,2395221.java,249,273,selected,1047166.java,372,398,3,0.7037037037037037,0.6761363636363636
selected,2395221.java,249,273,selected,115970.java,33,56,3,0.84,0.7793103448275862
selected,2395221.java,249,273,selected,1826423.java,41,66,3,0.7307692307692308,0.7638888888888888
selected,1777463.java,195,223,selected,2395221.java,249,273,3,0.7241379310344828,0.6927710843373494
selected,440442.java,27,64,selected,1207917.java,20,62,3,0.7592592592592593,0.7598152424942264
default,123372.java,25,67,selected,1207917.java,20,62,3,0.8333333333333334,0.9168591224018476
selected,1207917.java,20,62,selected,45377.java,105,136,3,0.7037037037037037,0.7251732101616628
selected,1207917.java,20,62,selected,2705355.java,962,1003,3,0.9259259259259259,0.9491916859122402
selected,1207917.java,20,62,selected,2074856.java,293,331,3,0.8703703703703703,0.8221709006928406
default,5352.java,25,67,selected,1207917.java,20,62,3,0.8333333333333334,0.9168591224018476
selected,2016846.java,39,81,selected,1207917.java,20,62,3,0.9272727272727272,0.9727891156462585
selected,1207917.java,20,62,selected,2237913.java,17,59,3,0.8333333333333334,0.9237875288683602
default,110358.java,14,58,selected,1207917.java,20,62,3,0.7857142857142857,0.9168591224018476
selected,1207917.java,20,62,selected,1819038.java,10,52,3,0.7592592592592593,0.812933025404157
selected,39748.java,89,118,selected,1207917.java,20,62,3,0.7037037037037037,0.7251732101616628
selected,1207917.java,20,62,selected,293333.java,72,107,3,0.8148148148148149,0.8152424942263279
selected,1207917.java,20,62,selected,673606.java,16,53,3,0.8888888888888888,0.8244803695150116
selected,855185.java,104,142,selected,1207917.java,20,62,3,0.7407407407407407,0.7667436489607391
selected,1207917.java,20,62,selected,1367404.java,123,161,3,0.7407407407407407,0.7667436489607391
selected,1207917.java,20,62,selected,1568102.java,73,108,3,0.8148148148148149,0.8152424942263279
selected,2685697.java,64,106,selected,1207917.java,20,62,3,0.9814814814814815,0.9976905311778291
selected,10730.java,1126,1152,selected,2626904.java,874,900,3,0.8148148148148149,0.9698492462311558
selected,1494993.java,837,863,selected,2626904.java,874,900,3,1,1
selected,2626904.java,874,900,selected,925397.java,890,916,3,0.962962962962963,0.965
selected,2626904.java,874,900,selected,925397.java,854,880,3,0.962962962962963,0.965
selected,10730.java,755,781,selected,2626904.java,874,900,3,0.8148148148148149,0.9698492462311558
selected,438322.java,865,885,selected,2626904.java,874,900,3,0.7037037037037037,0.8756476683937824
selected,438322.java,897,917,selected,2626904.java,874,900,3,0.7037037037037037,0.8756476683937824
selected,1494993.java,873,899,selected,2626904.java,874,900,3,1,1
selected,2685107.java,416,437,selected,861615.java,507,528,3,0.8636363636363636,0.9125
selected,2685107.java,416,437,selected,1436558.java,190,211,3,0.8636363636363636,0.9125
selected,2668601.java,369,390,selected,2685107.java,416,437,3,0.8636363636363636,0.9125
selected,2685107.java,416,437,selected,356375.java,500,521,3,0.8636363636363636,0.9125
selected,2685107.java,416,437,selected,223148.java,221,243,3,0.7391304347826086,0.8875
selected,2685107.java,416,437,selected,372617.java,499,520,3,0.8636363636363636,0.9125
selected,964081.java,120,228,selected,2021068.java,304,410,3,0.9411764705882353,0.9762150982419855
selected,1815674.java,81,89,selected,2309268.java,35,43,3,0.9,0.9880952380952381
selected,1815674.java,81,89,selected,1364523.java,99,108,3,0.8181818181818181,0.8604651162790697
selected,2300570.java,308,317,selected,1815674.java,81,89,3,0.7272727272727273,0.8200000000000001
selected,2077739.java,747,755,selected,1815674.java,81,89,3,0.9,0.9764705882352941
selected,1815674.java,81,89,selected,1371986.java,196,204,3,0.8,0.8571428571428572
selected,836722.java,118,126,selected,1815674.java,81,89,3,0.9,0.9764705882352941
selected,1815674.java,81,89,selected,2455851.java,855,863,3,0.9,0.9764705882352941
selected,1815674.java,81,89,selected,2300478.java,60,68,3,0.9,0.9880952380952381
selected,1815674.java,81,89,selected,1010374.java,511,521,3,0.75,0.8137254901960784
selected,1815674.java,81,89,selected,499481.java,849,857,3,0.9,0.9764705882352941
selected,1823751.java,50,58,selected,1815674.java,81,89,3,0.9,0.9764705882352941
selected,853320.java,48,57,selected,1815674.java,81,89,3,0.7272727272727273,0.83
selected,664690.java,712,721,selected,1815674.java,81,89,3,0.7272727272727273,0.813953488372093
selected,1815674.java,81,89,selected,591946.java,827,835,3,0.9,0.9764705882352941
selected,1200879.java,213,224,selected,2154817.java,36,47,3,0.8461538461538461,0.8415841584158416
selected,1101143.java,9,23,selected,1200879.java,213,224,3,0.75,0.8076923076923077
selected,1200879.java,213,224,selected,60460.java,65,77,3,0.7142857142857143,0.7107438016528926
selected,106425.java,72,83,selected,1200879.java,213,224,3,0.8461538461538461,0.9770114942528736
selected,1200879.java,213,224,selected,2666844.java,737,748,3,0.7692307692307692,0.7849462365591398
default,108638.java,248,261,selected,1200879.java,213,224,3,0.7333333333333334,0.794392523364486
selected,1383568.java,70,83,selected,1200879.java,213,224,3,0.7333333333333334,0.7304347826086957
selected,1200879.java,213,224,selected,1718247.java,56,69,3,0.7333333333333334,0.680327868852459
selected,1200879.java,213,224,selected,1141869.java,113,125,3,0.7142857142857143,0.7961165048543689
selected,1200879.java,213,224,selected,2088201.java,65,75,3,0.8461538461538461,0.8850574712643678
selected,1200879.java,213,224,selected,2337215.java,43,54,3,0.8461538461538461,0.8415841584158416
selected,2006571.java,147,165,selected,2512690.java,53,68,3,0.8421052631578947,0.8264462809917356
selected,2293723.java,62,82,selected,2512690.java,53,68,3,0.7142857142857143,0.784
selected,2333916.java,14,27,selected,2512690.java,53,68,3,0.875,0.9
selected,1002110.java,19,34,selected,2512690.java,53,68,3,0.75,0.9423076923076923
selected,42000.java,49,64,selected,2512690.java,53,68,3,0.8125,0.9615384615384616
selected,920983.java,188,205,selected,2512690.java,53,68,3,0.8333333333333334,0.8319327731092436
selected,1126373.java,107,122,selected,2512690.java,53,68,3,0.75,0.9523809523809523
selected,1948447.java,147,165,selected,2512690.java,53,68,3,0.8421052631578947,0.8264462809917356
default,123372.java,25,67,selected,440442.java,27,64,3,0.8888888888888888,0.8287153652392947
selected,440442.java,27,64,selected,45377.java,105,136,3,0.7291666666666667,0.8571428571428572
selected,440442.java,27,64,selected,2705355.java,962,1003,3,0.7547169811320755,0.7961165048543689
selected,440442.java,27,64,selected,2074856.java,293,331,3,0.7843137254901961,0.8388746803069054
selected,1142350.java,17,59,selected,440442.java,27,64,3,0.7592592592592593,0.7598152424942264
selected,2299052.java,205,248,selected,440442.java,27,64,3,0.7924528301886793,0.9481268011527377
default,5352.java,25,67,selected,440442.java,27,64,3,0.8888888888888888,0.8287153652392947
selected,2016846.java,39,81,selected,440442.java,27,64,3,0.7090909090909091,0.7369614512471656
selected,440442.java,27,64,selected,226776.java,20,62,3,0.7592592592592593,0.7598152424942264
selected,1394229.java,175,209,selected,440442.java,27,64,3,0.7708333333333334,0.8206686930091185
selected,440442.java,27,64,selected,2237913.java,17,59,3,0.8518518518518519,0.8159203980099503
selected,1144005.java,142,184,selected,440442.java,27,64,3,0.7592592592592593,0.7598152424942264
default,110358.java,14,58,selected,440442.java,27,64,3,0.8392857142857143,0.8083538083538083
selected,440442.java,27,64,selected,1819038.java,10,52,3,0.7169811320754718,0.7404761904761905
selected,39748.java,89,118,selected,440442.java,27,64,3,0.7291666666666667,0.8571428571428572
selected,440442.java,27,64,selected,293333.java,72,107,3,0.7708333333333334,0.8904109589041096
selected,440442.java,27,64,selected,673606.java,16,53,3,0.8541666666666666,0.9215686274509804
selected,2535377.java,103,139,selected,440442.java,27,64,3,0.8333333333333334,0.9452887537993921
selected,440442.java,27,64,selected,1208371.java,105,147,3,0.7592592592592593,0.7598152424942264
selected,855185.java,104,142,selected,440442.java,27,64,3,0.94,0.9475218658892128
selected,1720009.java,19,52,selected,440442.java,27,64,3,0.8958333333333334,0.9118541033434651
selected,440442.java,27,64,selected,1367404.java,123,161,3,0.94,0.9475218658892128
selected,440442.java,27,64,selected,1568102.java,73,108,3,0.7708333333333334,0.8904109589041096
selected,440442.java,27,64,selected,2685697.java,64,106,3,0.7407407407407407,0.7575057736720554
selected,871757.java,711,729,selected,1113498.java,86,104,3,0.9473684210526316,0.991304347826087
default,93742.java,55,74,selected,1113498.java,86,104,3,0.9,0.9262295081967213
selected,2358129.java,91,111,selected,1113498.java,86,104,3,0.7619047619047619,0.8208955223880597
selected,2741363.java,237,256,selected,1113498.java,86,104,3,0.75,0.8067226890756303
selected,1113498.java,86,104,selected,418831.java,80,100,3,0.8181818181818181,0.8308823529411764
selected,1574719.java,145,163,selected,1113498.java,86,104,3,0.9473684210526316,0.9826086956521739
selected,1435050.java,199,217,selected,1113498.java,86,104,3,0.9473684210526316,0.9826086956521739
selected,882365.java,379,402,selected,1113498.java,86,104,3,0.75,0.6609195402298851
selected,2102326.java,637,658,selected,1113498.java,86,104,3,0.8181818181818181,0.7687074829931972
selected,1113498.java,86,104,selected,1524798.java,43,61,3,0.9473684210526316,0.991304347826087
selected,1081859.java,197,212,selected,1113498.java,86,104,3,0.8421052631578947,0.8521739130434782
selected,668466.java,50,68,selected,1113498.java,86,104,3,0.9473684210526316,0.9478260869565217
selected,1831582.java,207,224,selected,1113498.java,86,104,3,0.7894736842105263,0.829059829059829
selected,1761827.java,86,102,selected,1113498.java,86,104,3,0.7894736842105263,0.8434782608695652
selected,1748547.java,90,112,selected,1113498.java,86,104,3,0.782608695652174,0.8615384615384616
selected,1057320.java,207,224,selected,1113498.java,86,104,3,0.7894736842105263,0.829059829059829
selected,2403960.java,34,49,selected,1113498.java,86,104,3,0.7894736842105263,0.817391304347826
selected,693554.java,184,203,selected,1113498.java,86,104,3,0.85,0.837037037037037
selected,1819337.java,144,162,selected,1113498.java,86,104,3,0.9473684210526316,0.991304347826087
selected,1791697.java,70,88,selected,1113498.java,86,104,3,0.9473684210526316,0.9826086956521739
selected,388654.java,111,129,selected,1113498.java,86,104,3,0.9473684210526316,0.991304347826087
selected,1597770.java,195,215,selected,1113498.java,86,104,3,0.8095238095238095,0.8444444444444444
selected,861428.java,327,347,selected,1113498.java,86,104,3,0.7142857142857143,0.8120300751879699
selected,451448.java,59,75,selected,1049521.java,90,104,3,0.7058823529411764,0.8785046728971962
selected,734475.java,104,117,selected,1049521.java,90,104,3,0.9333333333333333,0.9428571428571428
selected,2679035.java,637,652,selected,1049521.java,90,104,3,0.75,0.8738738738738738
selected,797954.java,46,66,selected,848542.java,33,52,3,0.8695652173913043,0.9297297297297298
selected,1451011.java,46,76,selected,2582891.java,30,53,3,0.7096774193548387,0.7094972067039106
selected,1451011.java,46,76,selected,201950.java,47,70,3,0.7096774193548387,0.7039106145251397
selected,1451011.java,46,76,selected,82991.java,33,59,3,0.7096774193548387,0.7653631284916201
selected,1451011.java,46,76,selected,1947495.java,44,67,3,0.7096774193548387,0.7094972067039106
selected,1451011.java,46,76,selected,1110716.java,27,62,3,0.7027027027027026,0.7117117117117118
selected,1451011.java,46,76,selected,1176675.java,112,137,3,0.7741935483870968,0.776536312849162
selected,1451011.java,46,76,selected,1826423.java,41,66,3,0.7419354838709677,0.782122905027933
selected,1451011.java,46,76,selected,854220.java,56,86,3,0.7096774193548387,0.7653631284916201
selected,10730.java,1126,1152,selected,2510322.java,790,816,3,0.8148148148148149,0.9698492462311558
selected,1494993.java,837,863,selected,2510322.java,790,816,3,1,1
selected,2510322.java,790,816,selected,925397.java,890,916,3,0.962962962962963,0.965
selected,2510322.java,790,816,selected,925397.java,854,880,3,0.962962962962963,0.965
selected,10730.java,755,781,selected,2510322.java,790,816,3,0.8148148148148149,0.9698492462311558
selected,438322.java,865,885,selected,2510322.java,790,816,3,0.7037037037037037,0.8756476683937824
selected,438322.java,897,917,selected,2510322.java,790,816,3,0.7037037037037037,0.8756476683937824
selected,1494993.java,873,899,selected,2510322.java,790,816,3,1,1
selected,2036304.java,91,105,selected,1319744.java,97,116,3,0.7142857142857143,0.825
selected,906314.java,53,68,selected,2036304.java,91,105,3,0.7058823529411764,0.7699115044247787
selected,1739993.java,575,623,selected,1739993.java,640,703,3,0.7538461538461538,0.8091106290672452
selected,520526.java,389,395,selected,582021.java,48,54,3,0.7142857142857143,0.9411764705882353
selected,1126543.java,107,113,selected,582021.java,48,54,3,0.7142857142857143,0.9558823529411765
selected,59576.java,93,99,selected,582021.java,48,54,3,0.8571428571428572,0.9705882352941176
selected,1810839.java,230,237,selected,582021.java,48,54,3,0.75,0.8571428571428572
selected,1376795.java,134,141,selected,582021.java,48,54,3,0.875,0.8192771084337349
selected,582021.java,48,54,selected,1087990.java,139,145,3,0.7142857142857143,0.9565217391304348
selected,582021.java,48,54,selected,1183848.java,84,90,3,0.8571428571428572,0.9705882352941176
selected,1385816.java,49,55,selected,582021.java,48,54,3,0.8571428571428572,0.9705882352941176
selected,1152093.java,55,61,selected,582021.java,48,54,3,0.8571428571428572,0.9705882352941176
selected,2205390.java,47,53,selected,582021.java,48,54,3,0.8571428571428572,0.9705882352941176
selected,2542837.java,44,50,selected,582021.java,48,54,3,0.7142857142857143,0.9565217391304348
selected,1247433.java,142,148,selected,582021.java,48,54,3,0.7142857142857143,0.9411764705882353
selected,1627071.java,116,122,selected,582021.java,48,54,3,0.8571428571428572,0.9705882352941176
selected,2245750.java,230,237,selected,582021.java,48,54,3,0.75,0.8571428571428572
selected,582021.java,48,54,selected,2566001.java,217,223,3,0.7142857142857143,0.9558823529411765
selected,2256300.java,15,21,selected,582021.java,48,54,3,0.8571428571428572,0.9705882352941176
selected,2227871.java,105,112,selected,582021.java,48,54,3,0.875,0.9315068493150684
selected,2331814.java,67,73,selected,582021.java,48,54,3,0.7142857142857143,0.9558823529411765
selected,582021.java,48,54,selected,1647854.java,14,21,3,0.7777777777777778,0.8607594936708861
selected,1542784.java,128,134,selected,582021.java,48,54,3,0.8571428571428572,0.9705882352941176
selected,582021.java,48,54,selected,690424.java,14,20,3,0.8571428571428572,0.9705882352941176
selected,1495157.java,230,237,selected,582021.java,48,54,3,0.75,0.8571428571428572
selected,2132905.java,72,78,selected,582021.java,48,54,3,0.7142857142857143,0.9411764705882353
selected,1408573.java,251,257,selected,582021.java,48,54,3,0.7142857142857143,0.9558823529411765
selected,2227752.java,18,24,selected,582021.java,48,54,3,0.7142857142857143,0.9558823529411765
selected,1742081.java,1699,1705,selected,582021.java,48,54,3,0.8571428571428572,0.9411764705882353
selected,426729.java,43,49,selected,582021.java,48,54,3,0.7142857142857143,0.9558823529411765
selected,530308.java,111,117,selected,582021.java,48,54,3,0.8571428571428572,0.9705882352941176
selected,2026703.java,472,478,selected,582021.java,48,54,3,0.8571428571428572,0.9852941176470589
selected,971300.java,176,182,selected,582021.java,48,54,3,0.8571428571428572,0.9705882352941176
selected,603254.java,82,90,selected,582021.java,48,54,3,0.7777777777777778,0.6938775510204082
selected,2687364.java,24,30,selected,582021.java,48,54,3,0.8571428571428572,0.9705882352941176
selected,208660.java,76,82,selected,582021.java,48,54,3,0.8571428571428572,0.9705882352941176
selected,582021.java,48,54,selected,1893527.java,47,53,3,0.8571428571428572,0.9705882352941176
selected,1953242.java,48,54,selected,582021.java,48,54,3,0.7142857142857143,0.9565217391304348
selected,1002172.java,24,30,selected,582021.java,48,54,3,0.8571428571428572,0.9305555555555556
selected,582021.java,48,54,selected,2617201.java,204,210,3,0.7142857142857143,0.9558823529411765
selected,2220153.java,87,93,selected,582021.java,48,54,3,0.7142857142857143,0.9411764705882353
selected,1796857.java,36,42,selected,582021.java,48,54,3,0.8571428571428572,0.9705882352941176
selected,2037747.java,98,104,selected,582021.java,48,54,3,1,1
selected,1600186.java,565,571,selected,582021.java,48,54,3,0.7142857142857143,0.9558823529411765
selected,2001980.java,22,30,selected,582021.java,48,54,3,0.7777777777777778,0.8095238095238095
selected,520526.java,389,395,selected,1126543.java,107,113,3,0.8571428571428572,0.9850746268656716
selected,59576.java,93,99,selected,520526.java,389,395,3,0.8571428571428572,0.9701492537313433
selected,520526.java,389,395,selected,1810839.java,230,237,3,0.75,0.8571428571428572
selected,520526.java,389,395,selected,1087990.java,139,145,3,0.8571428571428572,0.9565217391304348
selected,520526.java,389,395,selected,1183848.java,84,90,3,0.8571428571428572,0.9705882352941176
selected,520526.java,389,395,selected,1385816.java,49,55,3,0.8571428571428572,0.9705882352941176
selected,520526.java,389,395,selected,299629.java,199,205,3,0.7142857142857143,0.9411764705882353
selected,1152093.java,55,61,selected,520526.java,389,395,3,0.8571428571428572,0.9705882352941176
selected,2205390.java,47,53,selected,520526.java,389,395,3,0.8571428571428572,0.9705882352941176
selected,2542837.java,44,50,selected,520526.java,389,395,3,0.8571428571428572,0.9565217391304348
selected,520526.java,389,395,selected,1571204.java,43,49,3,0.7142857142857143,0.9411764705882353
selected,520526.java,389,395,selected,1627071.java,116,122,3,0.8571428571428572,0.9705882352941176
selected,2245750.java,230,237,selected,520526.java,389,395,3,0.75,0.8571428571428572
selected,520526.java,389,395,selected,2566001.java,217,223,3,0.8571428571428572,0.9850746268656716
selected,2256300.java,15,21,selected,520526.java,389,395,3,0.8571428571428572,0.9705882352941176
selected,520526.java,389,395,selected,2331814.java,67,73,3,0.8571428571428572,0.9850746268656716
selected,520526.java,389,395,selected,279603.java,40,46,3,0.7142857142857143,0.9436619718309859
selected,520526.java,389,395,selected,1542784.java,128,134,3,0.8571428571428572,0.9705882352941176
selected,1623414.java,34,40,selected,520526.java,389,395,3,0.7142857142857143,0.9411764705882353
selected,520526.java,389,395,selected,690424.java,14,20,3,0.8571428571428572,0.9705882352941176
selected,520526.java,389,395,selected,1495157.java,230,237,3,0.75,0.8571428571428572
selected,520526.java,389,395,selected,1408573.java,251,257,3,0.8571428571428572,0.9852941176470589
selected,520526.java,389,395,selected,2227752.java,18,24,3,0.8571428571428572,0.9852941176470589
selected,520526.java,389,395,selected,1742081.java,1699,1705,3,0.7142857142857143,0.9104477611940298
selected,520526.java,389,395,selected,426729.java,43,49,3,0.8571428571428572,0.9850746268656716
selected,520526.java,389,395,selected,530308.java,111,117,3,0.8571428571428572,0.9701492537313433
selected,520526.java,389,395,selected,464186.java,27,33,3,0.7142857142857143,0.9411764705882353
selected,520526.java,389,395,selected,2026703.java,472,478,3,0.7142857142857143,0.9558823529411765
selected,520526.java,389,395,selected,971300.java,176,182,3,0.8571428571428572,0.9701492537313433
selected,520526.java,389,395,selected,2687364.java,24,30,3,0.8571428571428572,0.9705882352941176
selected,208660.java,76,82,selected,520526.java,389,395,3,0.8571428571428572,0.9705882352941176
selected,520526.java,389,395,selected,1893527.java,47,53,3,0.8571428571428572,0.9705882352941176
selected,520526.java,389,395,selected,999982.java,18,24,3,0.7142857142857143,0.9411764705882353
selected,520526.java,389,395,selected,1953242.java,48,54,3,0.8571428571428572,0.9565217391304348
selected,520526.java,389,395,selected,1002172.java,24,30,3,0.7142857142857143,0.8888888888888888
selected,520526.java,389,395,selected,2617201.java,204,210,3,0.8571428571428572,0.9852941176470589
selected,520526.java,389,395,selected,685601.java,89,95,3,0.7142857142857143,0.9411764705882353
selected,1796857.java,36,42,selected,520526.java,389,395,3,0.8571428571428572,0.9705882352941176
selected,520526.java,389,395,selected,2037747.java,98,104,3,0.7142857142857143,0.9411764705882353
selected,520526.java,389,395,selected,2088123.java,40,46,3,0.7142857142857143,0.9411764705882353
selected,520526.java,389,395,selected,1600186.java,565,571,3,0.8571428571428572,0.9852941176470589
selected,1637296.java,142,154,selected,153582.java,256,268,3,0.9333333333333333,0.9655172413793104
selected,153582.java,256,268,selected,157734.java,338,353,3,0.7222222222222222,0.8412698412698413
selected,1253848.java,33,45,selected,153582.java,256,268,3,0.8,0.8571428571428572
selected,33546.java,639,653,selected,153582.java,256,268,3,0.8235294117647058,0.8538461538461538
selected,2180525.java,32,44,selected,153582.java,256,268,3,0.8666666666666667,0.9285714285714286
selected,214880.java,83,95,selected,153582.java,256,268,3,0.8,0.8660714285714286
selected,153582.java,256,268,selected,2383916.java,15,27,3,0.8666666666666667,0.8660714285714286
selected,2354960.java,15,26,selected,153582.java,256,268,3,0.7333333333333334,0.8035714285714286
selected,174244.java,78,93,selected,153582.java,256,268,3,0.8333333333333334,0.8
selected,153582.java,256,268,selected,2016782.java,312,326,3,0.8235294117647058,0.8951612903225806
selected,327063.java,157,168,selected,153582.java,256,268,3,0.7333333333333334,0.8035714285714286
selected,832110.java,49,64,selected,153582.java,256,268,3,0.7222222222222222,0.8412698412698413
selected,153582.java,256,268,selected,2034151.java,623,637,3,0.8235294117647058,0.8538461538461538
selected,2054531.java,466,478,selected,153582.java,256,268,3,0.8666666666666667,0.9285714285714286
selected,861615.java,507,528,selected,223148.java,221,243,3,0.8695652173913043,0.8930817610062893
