function_one_type,function_one_name,function_one_startline,function_one_endline,function_two_type,function_two_name,function_two_startline,function_two_endline,syntactic_type,similarity_line,similarity_token
selected,927691.java,790,816,selected,2481579.java,857,883,2,1,1
default,126904.java,836,862,selected,927691.java,790,816,2,1,1
selected,927691.java,790,816,selected,364540.java,835,861,2,1,1
selected,927691.java,790,816,selected,964253.java,838,864,2,1,1
default,16883.java,853,879,selected,927691.java,790,816,2,1,1
selected,1483221.java,836,862,selected,927691.java,790,816,2,1,1
selected,927691.java,790,816,selected,2215261.java,838,864,2,1,1
selected,927691.java,790,816,selected,2365821.java,838,864,2,1,1
selected,927691.java,790,816,selected,1402632.java,838,864,2,1,1
selected,927691.java,790,816,selected,183804.java,752,778,2,1,1
selected,927691.java,790,816,selected,593263.java,837,863,2,1,1
selected,927691.java,790,816,selected,244622.java,837,863,2,1,1
selected,927691.java,790,816,selected,2430560.java,838,864,2,1,1
selected,927691.java,790,816,selected,1802351.java,838,864,2,1,1
selected,927691.java,790,816,selected,304936.java,835,861,2,1,1
selected,927691.java,790,816,selected,707943.java,837,863,2,1,1
selected,927691.java,790,816,selected,1496807.java,848,874,2,1,1
selected,927691.java,790,816,selected,2510322.java,754,780,2,1,1
selected,927691.java,790,816,selected,1876215.java,753,779,2,1,1
selected,927691.java,790,816,selected,2640664.java,753,779,2,1,1
selected,927691.java,790,816,selected,2229382.java,838,864,2,1,1
selected,927691.java,790,816,selected,2038811.java,838,864,2,1,1
selected,927691.java,790,816,selected,419020.java,901,927,2,1,1
selected,927691.java,790,816,selected,2348309.java,754,780,2,1,1
selected,927691.java,790,816,selected,2339370.java,755,781,2,1,1
selected,927691.java,790,816,selected,2108660.java,923,949,2,1,1
selected,927691.java,790,816,selected,588446.java,839,865,2,1,1
selected,927691.java,790,816,selected,2190287.java,837,863,2,1,1
selected,375037.java,851,877,selected,2339370.java,791,817,2,1,1
selected,2429982.java,836,862,selected,2339370.java,791,817,2,1,1
default,122954.java,836,862,selected,2339370.java,791,817,2,1,1
selected,2339370.java,791,817,selected,753625.java,754,780,2,1,1
selected,2339370.java,791,817,selected,59218.java,732,758,2,1,1
selected,927691.java,754,780,selected,2339370.java,791,817,2,1,1
selected,1607771.java,838,864,selected,2339370.java,791,817,2,1,1
selected,2339370.java,791,817,selected,1931054.java,838,864,2,1,1
selected,2626904.java,838,864,selected,2339370.java,791,817,2,1,1
selected,2339370.java,791,817,selected,110490.java,838,864,2,1,1
selected,2339370.java,791,817,selected,1966020.java,858,884,2,1,1
selected,2339370.java,791,817,selected,1098324.java,815,841,2,1,1
selected,264272.java,754,780,selected,2339370.java,791,817,2,1,1
selected,2599719.java,838,864,selected,2339370.java,791,817,2,1,1
selected,1882693.java,837,863,selected,2339370.java,791,817,2,1,1
selected,2339370.java,791,817,selected,1560483.java,754,780,2,1,1
selected,1511595.java,834,860,selected,2339370.java,791,817,2,1,1
default,77069.java,836,862,selected,2339370.java,791,817,2,1,1
selected,2554952.java,838,864,selected,2339370.java,791,817,2,1,1
default,85394.java,836,862,selected,2339370.java,791,817,2,1,1
selected,209298.java,804,830,selected,2339370.java,791,817,2,1,1
selected,2339370.java,791,817,selected,1561076.java,908,934,2,1,1
selected,597475.java,838,864,selected,2339370.java,791,817,2,1,1
selected,2339370.java,791,817,selected,1103041.java,838,864,2,1,1
selected,2339370.java,791,817,selected,1139080.java,845,871,2,1,1
selected,2339370.java,791,817,selected,2481579.java,857,883,2,1,1
default,126904.java,836,862,selected,2339370.java,791,817,2,1,1
selected,364540.java,835,861,selected,2339370.java,791,817,2,1,1
selected,964253.java,838,864,selected,2339370.java,791,817,2,1,1
default,16883.java,853,879,selected,2339370.java,791,817,2,1,1
selected,1483221.java,836,862,selected,2339370.java,791,817,2,1,1
selected,2215261.java,838,864,selected,2339370.java,791,817,2,1,1
selected,2339370.java,791,817,selected,2365821.java,838,864,2,1,1
selected,2339370.java,791,817,selected,1402632.java,838,864,2,1,1
selected,183804.java,752,778,selected,2339370.java,791,817,2,1,1
selected,2339370.java,791,817,selected,593263.java,837,863,2,1,1
selected,244622.java,837,863,selected,2339370.java,791,817,2,1,1
selected,2430560.java,838,864,selected,2339370.java,791,817,2,1,1
selected,2339370.java,791,817,selected,1802351.java,838,864,2,1,1
selected,2339370.java,791,817,selected,304936.java,835,861,2,1,1
selected,707943.java,837,863,selected,2339370.java,791,817,2,1,1
selected,1496807.java,848,874,selected,2339370.java,791,817,2,1,1
selected,2339370.java,791,817,selected,2510322.java,754,780,2,1,1
selected,2339370.java,791,817,selected,1876215.java,753,779,2,1,1
selected,2640664.java,753,779,selected,2339370.java,791,817,2,1,1
selected,2229382.java,838,864,selected,2339370.java,791,817,2,1,1
selected,2339370.java,791,817,selected,2038811.java,838,864,2,1,1
selected,2339370.java,791,817,selected,419020.java,901,927,2,1,1
selected,2348309.java,754,780,selected,2339370.java,791,817,2,1,1
selected,2339370.java,755,781,selected,2339370.java,791,817,2,1,1
selected,2339370.java,791,817,selected,2108660.java,923,949,2,1,1
selected,2339370.java,791,817,selected,588446.java,839,865,2,1,1
selected,2190287.java,837,863,selected,2339370.java,791,817,2,1,1
selected,181736.java,412,414,selected,2489994.java,127,129,2,1,1
selected,2078997.java,208,218,selected,2078997.java,296,306,2,1,1
selected,375037.java,851,877,selected,1607771.java,874,900,2,1,1
selected,375037.java,851,877,selected,1561076.java,946,972,2,1,1
selected,375037.java,851,877,selected,59218.java,768,794,2,1,1
selected,375037.java,851,877,selected,2626904.java,874,900,2,1,1
selected,375037.java,851,877,selected,2510322.java,790,816,2,1,1
selected,375037.java,851,877,selected,1876215.java,789,815,2,1,1
selected,375037.java,851,877,selected,375037.java,887,913,2,1,1
selected,375037.java,851,877,selected,2640664.java,789,815,2,1,1
default,85394.java,872,898,selected,375037.java,851,877,2,1,1
selected,375037.java,851,877,selected,2038811.java,874,900,2,1,1
selected,2554952.java,874,900,selected,375037.java,851,877,2,1,1
selected,375037.java,851,877,selected,1402632.java,874,900,2,1,1
selected,375037.java,851,877,selected,209298.java,840,866,2,1,1
selected,375037.java,851,877,selected,1098324.java,851,877,2,1,1
selected,375037.java,851,877,selected,593263.java,873,899,2,1,1
selected,375037.java,851,877,selected,2430560.java,874,900,2,1,1
selected,375037.java,851,877,selected,1139080.java,881,907,2,1,1
selected,375037.java,851,877,selected,1802351.java,874,900,2,1,1
selected,375037.java,851,877,selected,110490.java,874,900,2,1,1
selected,375037.java,851,877,selected,1103041.java,874,900,2,1,1
default,122954.java,872,898,selected,375037.java,851,877,2,1,1
selected,264272.java,790,816,selected,375037.java,851,877,2,1,1
selected,375037.java,851,877,selected,1882693.java,873,899,2,1,1
selected,375037.java,851,877,selected,753625.java,790,816,2,1,1
selected,1511595.java,870,896,selected,375037.java,851,877,2,1,1
selected,375037.java,851,877,selected,1560483.java,790,816,2,1,1
default,126904.java,872,898,selected,375037.java,851,877,2,1,1
selected,375037.java,851,877,selected,2215261.java,874,900,2,1,1
selected,375037.java,851,877,selected,183804.java,788,814,2,1,1
selected,375037.java,851,877,selected,2190287.java,873,899,2,1,1
selected,597475.java,874,900,selected,375037.java,851,877,2,1,1
selected,375037.java,851,877,selected,304936.java,871,897,2,1,1
selected,375037.java,851,877,selected,707943.java,873,899,2,1,1
selected,375037.java,851,877,selected,2481579.java,893,919,2,1,1
selected,375037.java,851,877,selected,1966020.java,894,920,2,1,1
selected,375037.java,851,877,selected,364540.java,871,897,2,1,1
selected,375037.java,851,877,selected,964253.java,874,900,2,1,1
selected,375037.java,851,877,selected,2365821.java,874,900,2,1,1
selected,1483221.java,872,898,selected,375037.java,851,877,2,1,1
selected,375037.java,851,877,selected,2599719.java,874,900,2,1,1
default,77069.java,872,898,selected,375037.java,851,877,2,1,1
selected,375037.java,851,877,selected,419020.java,939,965,2,1,1
selected,375037.java,851,877,selected,588446.java,875,901,2,1,1
selected,244622.java,873,899,selected,375037.java,851,877,2,1,1
selected,375037.java,851,877,selected,1931054.java,874,900,2,1,1
selected,1496807.java,884,910,selected,375037.java,851,877,2,1,1
default,16883.java,889,915,selected,375037.java,851,877,2,1,1
selected,375037.java,851,877,selected,2429982.java,872,898,2,1,1
selected,2229382.java,874,900,selected,375037.java,851,877,2,1,1
selected,375037.java,851,877,selected,2108660.java,959,985,2,1,1
selected,375037.java,851,877,selected,2348309.java,790,816,2,1,1
selected,749046.java,23,34,selected,881437.java,27,38,2,1,1
selected,2429982.java,836,862,selected,1607771.java,874,900,2,1,1
default,122954.java,836,862,selected,1607771.java,874,900,2,1,1
selected,1607771.java,874,900,selected,753625.java,754,780,2,1,1
selected,1607771.java,874,900,selected,59218.java,732,758,2,1,1
selected,927691.java,754,780,selected,1607771.java,874,900,2,1,1
selected,1607771.java,838,864,selected,1607771.java,874,900,2,1,1
selected,1607771.java,874,900,selected,1931054.java,838,864,2,1,1
selected,2626904.java,838,864,selected,1607771.java,874,900,2,1,1
selected,1607771.java,874,900,selected,110490.java,838,864,2,1,1
selected,1607771.java,874,900,selected,1966020.java,858,884,2,1,1
selected,1607771.java,874,900,selected,1098324.java,815,841,2,1,1
selected,264272.java,754,780,selected,1607771.java,874,900,2,1,1
selected,2599719.java,838,864,selected,1607771.java,874,900,2,1,1
selected,1607771.java,874,900,selected,1882693.java,837,863,2,1,1
selected,1607771.java,874,900,selected,1560483.java,754,780,2,1,1
selected,1511595.java,834,860,selected,1607771.java,874,900,2,1,1
default,77069.java,836,862,selected,1607771.java,874,900,2,1,1
selected,2554952.java,838,864,selected,1607771.java,874,900,2,1,1
default,85394.java,836,862,selected,1607771.java,874,900,2,1,1
selected,209298.java,804,830,selected,1607771.java,874,900,2,1,1
selected,1607771.java,874,900,selected,1561076.java,908,934,2,1,1
selected,597475.java,838,864,selected,1607771.java,874,900,2,1,1
selected,1607771.java,874,900,selected,1103041.java,838,864,2,1,1
selected,1607771.java,874,900,selected,1139080.java,845,871,2,1,1
selected,1607771.java,874,900,selected,2481579.java,857,883,2,1,1
default,126904.java,836,862,selected,1607771.java,874,900,2,1,1
selected,364540.java,835,861,selected,1607771.java,874,900,2,1,1
selected,1607771.java,874,900,selected,964253.java,838,864,2,1,1
default,16883.java,853,879,selected,1607771.java,874,900,2,1,1
selected,1483221.java,836,862,selected,1607771.java,874,900,2,1,1
selected,1607771.java,874,900,selected,2215261.java,838,864,2,1,1
selected,1607771.java,874,900,selected,2365821.java,838,864,2,1,1
selected,1607771.java,874,900,selected,1402632.java,838,864,2,1,1
selected,183804.java,752,778,selected,1607771.java,874,900,2,1,1
selected,1607771.java,874,900,selected,593263.java,837,863,2,1,1
selected,244622.java,837,863,selected,1607771.java,874,900,2,1,1
selected,1607771.java,874,900,selected,2430560.java,838,864,2,1,1
selected,1607771.java,874,900,selected,1802351.java,838,864,2,1,1
selected,1607771.java,874,900,selected,304936.java,835,861,2,1,1
selected,707943.java,837,863,selected,1607771.java,874,900,2,1,1
selected,1496807.java,848,874,selected,1607771.java,874,900,2,1,1
selected,1607771.java,874,900,selected,2510322.java,754,780,2,1,1
selected,1607771.java,874,900,selected,1876215.java,753,779,2,1,1
selected,1607771.java,874,900,selected,2640664.java,753,779,2,1,1
selected,2229382.java,838,864,selected,1607771.java,874,900,2,1,1
selected,1607771.java,874,900,selected,2038811.java,838,864,2,1,1
selected,1607771.java,874,900,selected,419020.java,901,927,2,1,1
selected,1607771.java,874,900,selected,2348309.java,754,780,2,1,1
selected,1607771.java,874,900,selected,2339370.java,755,781,2,1,1
selected,1607771.java,874,900,selected,2108660.java,923,949,2,1,1
selected,1607771.java,874,900,selected,588446.java,839,865,2,1,1
selected,2190287.java,837,863,selected,1607771.java,874,900,2,1,1
selected,2429982.java,836,862,selected,1561076.java,946,972,2,1,1
default,122954.java,836,862,selected,1561076.java,946,972,2,1,1
selected,753625.java,754,780,selected,1561076.java,946,972,2,1,1
selected,59218.java,732,758,selected,1561076.java,946,972,2,1,1
selected,927691.java,754,780,selected,1561076.java,946,972,2,1,1
selected,1607771.java,838,864,selected,1561076.java,946,972,2,1,1
selected,1931054.java,838,864,selected,1561076.java,946,972,2,1,1
selected,2626904.java,838,864,selected,1561076.java,946,972,2,1,1
selected,110490.java,838,864,selected,1561076.java,946,972,2,1,1
selected,1966020.java,858,884,selected,1561076.java,946,972,2,1,1
selected,1561076.java,946,972,selected,1098324.java,815,841,2,1,1
selected,264272.java,754,780,selected,1561076.java,946,972,2,1,1
selected,2599719.java,838,864,selected,1561076.java,946,972,2,1,1
selected,1882693.java,837,863,selected,1561076.java,946,972,2,1,1
selected,1560483.java,754,780,selected,1561076.java,946,972,2,1,1
selected,1511595.java,834,860,selected,1561076.java,946,972,2,1,1
default,77069.java,836,862,selected,1561076.java,946,972,2,1,1
selected,2554952.java,838,864,selected,1561076.java,946,972,2,1,1
default,85394.java,836,862,selected,1561076.java,946,972,2,1,1
selected,209298.java,804,830,selected,1561076.java,946,972,2,1,1
selected,1561076.java,908,934,selected,1561076.java,946,972,2,1,1
selected,597475.java,838,864,selected,1561076.java,946,972,2,1,1
selected,1103041.java,838,864,selected,1561076.java,946,972,2,1,1
selected,1139080.java,845,871,selected,1561076.java,946,972,2,1,1
selected,1561076.java,946,972,selected,2481579.java,857,883,2,1,1
default,126904.java,836,862,selected,1561076.java,946,972,2,1,1
selected,364540.java,835,861,selected,1561076.java,946,972,2,1,1
selected,964253.java,838,864,selected,1561076.java,946,972,2,1,1
default,16883.java,853,879,selected,1561076.java,946,972,2,1,1
selected,1483221.java,836,862,selected,1561076.java,946,972,2,1,1
selected,2215261.java,838,864,selected,1561076.java,946,972,2,1,1
selected,1561076.java,946,972,selected,2365821.java,838,864,2,1,1
selected,1561076.java,946,972,selected,1402632.java,838,864,2,1,1
selected,183804.java,752,778,selected,1561076.java,946,972,2,1,1
selected,593263.java,837,863,selected,1561076.java,946,972,2,1,1
selected,244622.java,837,863,selected,1561076.java,946,972,2,1,1
selected,2430560.java,838,864,selected,1561076.java,946,972,2,1,1
selected,1802351.java,838,864,selected,1561076.java,946,972,2,1,1
selected,304936.java,835,861,selected,1561076.java,946,972,2,1,1
selected,707943.java,837,863,selected,1561076.java,946,972,2,1,1
selected,1496807.java,848,874,selected,1561076.java,946,972,2,1,1
selected,2510322.java,754,780,selected,1561076.java,946,972,2,1,1
selected,1561076.java,946,972,selected,1876215.java,753,779,2,1,1
selected,2640664.java,753,779,selected,1561076.java,946,972,2,1,1
selected,2229382.java,838,864,selected,1561076.java,946,972,2,1,1
selected,2038811.java,838,864,selected,1561076.java,946,972,2,1,1
selected,1561076.java,946,972,selected,419020.java,901,927,2,1,1
selected,2348309.java,754,780,selected,1561076.java,946,972,2,1,1
selected,2339370.java,755,781,selected,1561076.java,946,972,2,1,1
selected,1561076.java,946,972,selected,2108660.java,923,949,2,1,1
selected,1561076.java,946,972,selected,588446.java,839,865,2,1,1
selected,2190287.java,837,863,selected,1561076.java,946,972,2,1,1
selected,1434515.java,77,89,selected,166275.java,159,171,2,1,1
selected,166275.java,159,171,selected,153582.java,256,268,2,1,1
selected,166275.java,159,171,selected,2688879.java,37,49,2,1,1
selected,166275.java,159,171,selected,1262585.java,54,66,2,1,1
selected,166275.java,159,171,selected,567178.java,45,57,2,1,1
selected,166275.java,159,171,selected,215042.java,58,70,2,1,1
selected,2082.java,64,76,selected,166275.java,159,171,2,1,1
selected,2429982.java,836,862,selected,59218.java,768,794,2,1,1
selected,2626904.java,874,900,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,2510322.java,790,816,2,1,1
selected,2429982.java,836,862,selected,1876215.java,789,815,2,1,1
selected,375037.java,887,913,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,2640664.java,789,815,2,1,1
default,85394.java,872,898,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,2038811.java,874,900,2,1,1
selected,2554952.java,874,900,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,1402632.java,874,900,2,1,1
selected,209298.java,840,866,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,1098324.java,851,877,2,1,1
selected,2429982.java,836,862,selected,593263.java,873,899,2,1,1
selected,2429982.java,836,862,selected,2430560.java,874,900,2,1,1
selected,2429982.java,836,862,selected,1139080.java,881,907,2,1,1
selected,2429982.java,836,862,selected,1802351.java,874,900,2,1,1
selected,2429982.java,836,862,selected,110490.java,874,900,2,1,1
selected,2429982.java,836,862,selected,1103041.java,874,900,2,1,1
default,122954.java,872,898,selected,2429982.java,836,862,2,1,1
selected,264272.java,790,816,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,1882693.java,873,899,2,1,1
selected,2429982.java,836,862,selected,753625.java,790,816,2,1,1
selected,1511595.java,870,896,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,1560483.java,790,816,2,1,1
default,126904.java,872,898,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,2215261.java,874,900,2,1,1
selected,183804.java,788,814,selected,2429982.java,836,862,2,1,1
selected,2190287.java,873,899,selected,2429982.java,836,862,2,1,1
selected,597475.java,874,900,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,304936.java,871,897,2,1,1
selected,707943.java,873,899,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,2481579.java,893,919,2,1,1
selected,2429982.java,836,862,selected,1966020.java,894,920,2,1,1
selected,364540.java,871,897,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,964253.java,874,900,2,1,1
selected,2429982.java,836,862,selected,2365821.java,874,900,2,1,1
selected,1483221.java,872,898,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,2599719.java,874,900,2,1,1
default,77069.java,872,898,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,419020.java,939,965,2,1,1
selected,2429982.java,836,862,selected,588446.java,875,901,2,1,1
selected,244622.java,873,899,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,1931054.java,874,900,2,1,1
selected,1496807.java,884,910,selected,2429982.java,836,862,2,1,1
default,16883.java,889,915,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,2429982.java,872,898,2,1,1
selected,2229382.java,874,900,selected,2429982.java,836,862,2,1,1
selected,2429982.java,836,862,selected,2108660.java,959,985,2,1,1
selected,2429982.java,836,862,selected,2348309.java,790,816,2,1,1
selected,1235420.java,78,89,selected,881437.java,27,38,2,1,1
selected,1613178.java,232,243,selected,2354960.java,15,26,2,1,1
selected,881437.java,27,38,selected,699527.java,23,34,2,1,1
selected,812847.java,8,14,selected,1408573.java,251,257,2,1,1
selected,812847.java,8,14,selected,2227752.java,18,24,2,1,1
selected,812847.java,8,14,selected,2617201.java,204,210,2,1,1
selected,812847.java,8,14,selected,1600186.java,565,571,2,1,1
selected,1344848.java,9,18,selected,775655.java,713,722,2,1,1
default,122954.java,836,862,selected,59218.java,768,794,2,1,1
default,122954.java,836,862,selected,2626904.java,874,900,2,1,1
default,122954.java,836,862,selected,2510322.java,790,816,2,1,1
default,122954.java,836,862,selected,1876215.java,789,815,2,1,1
default,122954.java,836,862,selected,375037.java,887,913,2,1,1
default,122954.java,836,862,selected,2640664.java,789,815,2,1,1
default,122954.java,836,862,default,85394.java,872,898,2,1,1
default,122954.java,836,862,selected,2038811.java,874,900,2,1,1
default,122954.java,836,862,selected,2554952.java,874,900,2,1,1
default,122954.java,836,862,selected,1402632.java,874,900,2,1,1
default,122954.java,836,862,selected,209298.java,840,866,2,1,1
default,122954.java,836,862,selected,1098324.java,851,877,2,1,1
default,122954.java,836,862,selected,593263.java,873,899,2,1,1
default,122954.java,836,862,selected,2430560.java,874,900,2,1,1
default,122954.java,836,862,selected,1139080.java,881,907,2,1,1
default,122954.java,836,862,selected,1802351.java,874,900,2,1,1
default,122954.java,836,862,selected,110490.java,874,900,2,1,1
default,122954.java,836,862,selected,1103041.java,874,900,2,1,1
default,122954.java,836,862,default,122954.java,872,898,2,1,1
default,122954.java,836,862,selected,264272.java,790,816,2,1,1
default,122954.java,836,862,selected,1882693.java,873,899,2,1,1
default,122954.java,836,862,selected,753625.java,790,816,2,1,1
default,122954.java,836,862,selected,1511595.java,870,896,2,1,1
default,122954.java,836,862,selected,1560483.java,790,816,2,1,1
default,126904.java,872,898,default,122954.java,836,862,2,1,1
default,122954.java,836,862,selected,2215261.java,874,900,2,1,1
default,122954.java,836,862,selected,183804.java,788,814,2,1,1
default,122954.java,836,862,selected,2190287.java,873,899,2,1,1
default,122954.java,836,862,selected,597475.java,874,900,2,1,1
default,122954.java,836,862,selected,304936.java,871,897,2,1,1
default,122954.java,836,862,selected,707943.java,873,899,2,1,1
default,122954.java,836,862,selected,2481579.java,893,919,2,1,1
default,122954.java,836,862,selected,1966020.java,894,920,2,1,1
default,122954.java,836,862,selected,364540.java,871,897,2,1,1
default,122954.java,836,862,selected,964253.java,874,900,2,1,1
default,122954.java,836,862,selected,2365821.java,874,900,2,1,1
default,122954.java,836,862,selected,1483221.java,872,898,2,1,1
default,122954.java,836,862,selected,2599719.java,874,900,2,1,1
default,122954.java,836,862,default,77069.java,872,898,2,1,1
default,122954.java,836,862,selected,419020.java,939,965,2,1,1
default,122954.java,836,862,selected,588446.java,875,901,2,1,1
default,122954.java,836,862,selected,244622.java,873,899,2,1,1
default,122954.java,836,862,selected,1931054.java,874,900,2,1,1
default,122954.java,836,862,selected,1496807.java,884,910,2,1,1
default,122954.java,836,862,default,16883.java,889,915,2,1,1
default,122954.java,836,862,selected,2429982.java,872,898,2,1,1
default,122954.java,836,862,selected,2229382.java,874,900,2,1,1
default,122954.java,836,862,selected,2108660.java,959,985,2,1,1
default,122954.java,836,862,selected,2348309.java,790,816,2,1,1
selected,753625.java,754,780,selected,59218.java,768,794,2,1,1
selected,2626904.java,874,900,selected,753625.java,754,780,2,1,1
selected,2510322.java,790,816,selected,753625.java,754,780,2,1,1
selected,753625.java,754,780,selected,1876215.java,789,815,2,1,1
selected,375037.java,887,913,selected,753625.java,754,780,2,1,1
selected,2640664.java,789,815,selected,753625.java,754,780,2,1,1
default,85394.java,872,898,selected,753625.java,754,780,2,1,1
selected,753625.java,754,780,selected,2038811.java,874,900,2,1,1
selected,2554952.java,874,900,selected,753625.java,754,780,2,1,1
selected,753625.java,754,780,selected,1402632.java,874,900,2,1,1
selected,209298.java,840,866,selected,753625.java,754,780,2,1,1
selected,753625.java,754,780,selected,1098324.java,851,877,2,1,1
selected,593263.java,873,899,selected,753625.java,754,780,2,1,1
selected,2430560.java,874,900,selected,753625.java,754,780,2,1,1
selected,753625.java,754,780,selected,1139080.java,881,907,2,1,1
selected,753625.java,754,780,selected,1802351.java,874,900,2,1,1
selected,753625.java,754,780,selected,110490.java,874,900,2,1,1
selected,1103041.java,874,900,selected,753625.java,754,780,2,1,1
default,122954.java,872,898,selected,753625.java,754,780,2,1,1
selected,264272.java,790,816,selected,753625.java,754,780,2,1,1
selected,1882693.java,873,899,selected,753625.java,754,780,2,1,1
selected,753625.java,754,780,selected,753625.java,790,816,2,1,1
selected,1511595.java,870,896,selected,753625.java,754,780,2,1,1
selected,753625.java,754,780,selected,1560483.java,790,816,2,1,1
default,126904.java,872,898,selected,753625.java,754,780,2,1,1
selected,2215261.java,874,900,selected,753625.java,754,780,2,1,1
selected,183804.java,788,814,selected,753625.java,754,780,2,1,1
selected,2190287.java,873,899,selected,753625.java,754,780,2,1,1
selected,597475.java,874,900,selected,753625.java,754,780,2,1,1
selected,304936.java,871,897,selected,753625.java,754,780,2,1,1
selected,707943.java,873,899,selected,753625.java,754,780,2,1,1
selected,753625.java,754,780,selected,2481579.java,893,919,2,1,1
selected,1966020.java,894,920,selected,753625.java,754,780,2,1,1
selected,364540.java,871,897,selected,753625.java,754,780,2,1,1
selected,964253.java,874,900,selected,753625.java,754,780,2,1,1
selected,753625.java,754,780,selected,2365821.java,874,900,2,1,1
selected,1483221.java,872,898,selected,753625.java,754,780,2,1,1
selected,2599719.java,874,900,selected,753625.java,754,780,2,1,1
default,77069.java,872,898,selected,753625.java,754,780,2,1,1
selected,753625.java,754,780,selected,419020.java,939,965,2,1,1
selected,753625.java,754,780,selected,588446.java,875,901,2,1,1
selected,244622.java,873,899,selected,753625.java,754,780,2,1,1
selected,753625.java,754,780,selected,1931054.java,874,900,2,1,1
selected,1496807.java,884,910,selected,753625.java,754,780,2,1,1
default,16883.java,889,915,selected,753625.java,754,780,2,1,1
selected,2429982.java,872,898,selected,753625.java,754,780,2,1,1
selected,2229382.java,874,900,selected,753625.java,754,780,2,1,1
selected,753625.java,754,780,selected,2108660.java,959,985,2,1,1
selected,2348309.java,790,816,selected,753625.java,754,780,2,1,1
selected,1013593.java,26,32,selected,256068.java,549,555,2,1,1
selected,59218.java,732,758,selected,59218.java,768,794,2,1,1
selected,927691.java,754,780,selected,59218.java,768,794,2,1,1
selected,1607771.java,838,864,selected,59218.java,768,794,2,1,1
selected,1931054.java,838,864,selected,59218.java,768,794,2,1,1
